Fund Holdings as of,"2024/04/02"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"7733","OLYMPUS CORP","Precision Instruments","Equity","10,156,904,000.00","0.70","10,156,904,000.00","4,744,000.00","2,141.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7832","BANDAI NAMCO HOLDINGS INC","Other Products","Equity","9,944,610,000.00","0.68","9,944,610,000.00","3,558,000.00","2,795.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4503","ASTELLAS PHARMA INC","Pharmaceutical","Equity","9,775,605,000.00","0.67","9,775,605,000.00","5,930,000.00","1,648.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7974","NINTENDO LTD","Other Products","Equity","9,662,342,000.00","0.66","9,662,342,000.00","1,186,000.00","8,147.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4704","TREND MICRO INC","Information & Communication","Equity","9,420,398,000.00","0.64","9,420,398,000.00","1,186,000.00","7,943.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7735","SCREEN HOLDINGS LTD","Electric Appliances","Equity","8,947,184,000.00","0.61","8,947,184,000.00","474,400.00","18,860.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4507","SHIONOGI LTD","Pharmaceutical","Equity","8,923,464,000.00","0.61","8,923,464,000.00","1,186,000.00","7,524.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6861","KEYENCE CORP","Electric Appliances","Equity","8,330,464,000.00","0.57","8,330,464,000.00","118,600.00","70,240.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7269","SUZUKI MOTOR CORP","Transportation Equipment","Equity","8,316,232,000.00","0.57","8,316,232,000.00","4,744,000.00","1,753.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8766","TOKIO MARINE HOLDINGS INC","Insurance","Equity","8,300,814,000.00","0.57","8,300,814,000.00","1,779,000.00","4,666.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8031","MITSUI LTD","Wholesale Trade","Equity","8,205,934,000.00","0.56","8,205,934,000.00","1,186,000.00","6,919.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6981","MURATA MANUFACTURING LTD","Electric Appliances","Equity","8,021,155,200.00","0.55","8,021,155,200.00","2,846,400.00","2,818.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7751","CANON INC","Electric Appliances","Equity","8,000,163,000.00","0.55","8,000,163,000.00","1,779,000.00","4,497.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"5108","BRIDGESTONE CORP","Rubber Products","Equity","7,815,740,000.00","0.53","7,815,740,000.00","1,186,000.00","6,590.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6506","YASKAWA ELECTRIC CORP","Electric Appliances","Equity","7,649,700,000.00","0.52","7,649,700,000.00","1,186,000.00","6,450.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3382","SEVEN & I HOLDINGS LTD","Retail Trade","Equity","7,576,761,000.00","0.52","7,576,761,000.00","3,558,000.00","2,129.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4578","OTSUKA HOLDINGS LTD","Pharmaceutical","Equity","7,554,820,000.00","0.52","7,554,820,000.00","1,186,000.00","6,370.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8001","ITOCHU CORP","Wholesale Trade","Equity","7,542,960,000.00","0.52","7,542,960,000.00","1,186,000.00","6,360.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4523","EISAI LTD","Pharmaceutical","Equity","7,222,740,000.00","0.49","7,222,740,000.00","1,186,000.00","6,090.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4452","KAO CORP","Chemicals","Equity","6,878,800,000.00","0.47","6,878,800,000.00","1,186,000.00","5,800.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4021","NISSAN CHEMICAL CORP","Chemicals","Equity","6,819,500,000.00","0.47","6,819,500,000.00","1,186,000.00","5,750.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8830","SUMITOMO REALTY & DEVELOPMENT LTD","Real Estate ex REIT","Equity","6,628,554,000.00","0.45","6,628,554,000.00","1,186,000.00","5,589.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2802","AJINOMOTO INC","Foods","Equity","6,589,416,000.00","0.45","6,589,416,000.00","1,186,000.00","5,556.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2502","ASAHI GROUP HOLDINGS LTD","Foods","Equity","6,544,348,000.00","0.45","6,544,348,000.00","1,186,000.00","5,518.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6645","OMRON CORP","Electric Appliances","Equity","6,451,840,000.00","0.44","6,451,840,000.00","1,186,000.00","5,440.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6724","SEIKO EPSON CORP","Electric Appliances","Equity","6,288,172,000.00","0.43","6,288,172,000.00","2,372,000.00","2,651.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2413","M3 INC","Services","Equity","6,170,995,200.00","0.42","6,170,995,200.00","2,846,400.00","2,168.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6594","NIDEC CORP","Electric Appliances","Equity","5,951,822,400.00","0.41","5,951,822,400.00","948,800.00","6,273.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3659","NEXON LTD","Information & Communication","Equity","5,889,676,000.00","0.40","5,889,676,000.00","2,372,000.00","2,483.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8801","MITSUI FUDOSAN LTD","Real Estate ex REIT","Equity","5,758,623,000.00","0.39","5,758,623,000.00","3,558,000.00","1,618.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4661","ORIENTAL LAND LTD","Services","Equity","5,660,778,000.00","0.39","5,660,778,000.00","1,186,000.00","4,773.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6305","HITACHI CONSTRUCTION MACHINERY LTD","Machinery","Equity","5,425,950,000.00","0.37","5,425,950,000.00","1,186,000.00","4,575.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"1925","DAIWA HOUSE INDUSTRY LTD","Construction","Equity","5,208,912,000.00","0.36","5,208,912,000.00","1,186,000.00","4,392.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6301","KOMATSU LTD","Machinery","Equity","5,204,168,000.00","0.36","5,204,168,000.00","1,186,000.00","4,388.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7272","YAMAHA MOTOR LTD","Transportation Equipment","Equity","5,144,868,000.00","0.35","5,144,868,000.00","3,558,000.00","1,446.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4324","DENTSU GROUP INC","Services","Equity","5,128,264,000.00","0.35","5,128,264,000.00","1,186,000.00","4,324.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4911","SHISEIDO LTD","Chemicals","Equity","4,949,178,000.00","0.34","4,949,178,000.00","1,186,000.00","4,173.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2914","JAPAN TOBACCO INC","Foods","Equity","4,924,272,000.00","0.34","4,924,272,000.00","1,186,000.00","4,152.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4502","TAKEDA PHARMACEUTICAL LTD","Pharmaceutical","Equity","4,904,110,000.00","0.34","4,904,110,000.00","1,186,000.00","4,135.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6526","SOCIONEXT INC","Electric Appliances","Equity","4,859,042,000.00","0.33","4,859,042,000.00","1,186,000.00","4,097.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8697","JAPAN EXCHANGE GROUP INC","Other Financing Business","Equity","4,742,814,000.00","0.32","4,742,814,000.00","1,186,000.00","3,999.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3092","ZOZO INC","Retail Trade","Equity","4,354,992,000.00","0.30","4,354,992,000.00","1,186,000.00","3,672.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6976","TAIYO YUDEN LTD","Electric Appliances","Equity","4,293,320,000.00","0.29","4,293,320,000.00","1,186,000.00","3,620.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8053","SUMITOMO CORP","Wholesale Trade","Equity","4,236,392,000.00","0.29","4,236,392,000.00","1,186,000.00","3,572.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"1721","COMSYS HOLDINGS CORP","Construction","Equity","4,129,652,000.00","0.28","4,129,652,000.00","1,186,000.00","3,482.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"1928","SEKISUI HOUSE LTD","Construction","Equity","4,126,094,000.00","0.28","4,126,094,000.00","1,186,000.00","3,479.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6841","YOKOGAWA ELECTRIC CORP","Electric Appliances","Equity","4,124,908,000.00","0.28","4,124,908,000.00","1,186,000.00","3,478.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8267","AEON LTD","Retail Trade","Equity","4,098,816,000.00","0.28","4,098,816,000.00","1,186,000.00","3,456.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7270","SUBARU CORP","Transportation Equipment","Equity","3,968,356,000.00","0.27","3,968,356,000.00","1,186,000.00","3,346.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7951","YAMAHA CORP","Other Products","Equity","3,836,710,000.00","0.26","3,836,710,000.00","1,186,000.00","3,235.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8591","ORIX CORP","Other Financing Business","Equity","3,794,014,000.00","0.26","3,794,014,000.00","1,186,000.00","3,199.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
