date;open;high;low;close
1949-05-01;176,21;176,52;169,20;176,52
1949-06-01;175,97;175,98;146,14;146,92
1949-07-01;147,37;150,00;134,80;144,86
1949-08-01;145,63;176,27;145,63;175,18
1949-09-01;176,89;176,89;160,41;163,29
1949-10-01;162,95;162,95;131,09;141,54
1949-11-01;138,86;140,67;118,40;122,84
1949-12-01;125,62;125,62;98,50;109,91
1950-01-01;108,56;108,56;92,54;92,54
1950-02-01;92,56;113,40;92,56;107,44
1950-03-01;108,19;108,19;97,61;97,61
1950-04-01;96,97;99,31;88,70;99,31
1950-05-01;103,78;103,78;93,61;94,22
1950-06-01;94,22;94,68;86,17;86,17
1950-07-01;86,19;109,34;85,25;97,59
1950-08-01;99,51;114,99;99,10;114,55
1950-09-01;113,46;113,46;103,58;104,98
1950-10-01;103,52;107,44;103,52;106,16
1950-11-01;108,55;112,93;108,55;109,75
1950-12-01;110,05;110,05;98,27;101,91
1951-01-01;102,10;115,43;102,10;115,43
1951-02-01;115,00;122,09;115,00;121,84
1951-03-01;122,71;132,97;122,71;124,53
1951-04-01;124,87;124,87;117,54;120,82
1951-05-01;121,11;127,23;121,11;127,23
1951-06-01;127,32;136,42;127,32;130,49
1951-07-01;126,22;135,89;124,48;135,89
1951-08-01;136,23;145,30;136,23;145,30
1951-09-01;145,93;154,27;143,61;154,27
1951-10-01;154,07;170,32;154,07;165,09
1951-11-01;165,17;165,17;153,59;157,35
1951-12-01;159,29;166,06;157,06;166,06
1952-01-01;167,80;188,96;167,80;188,96
1952-02-01;190,77;193,29;180,30;181,40
1952-03-01;182,15;188,50;175,01;175,51
1952-04-01;175,99;206,20;175,99;202,72
1952-05-01;204,41;225,38;204,41;225,38
1952-06-01;228,41;246,15;224,00;246,15
1952-07-01;249,86;263,04;238,80;253,21
1952-08-01;253,74;264,71;250,48;254,72
1952-09-01;254,38;268,90;254,38;268,90
1952-10-01;271,49;321,39;270,33;313,23
1952-11-01;318,29;353,58;318,29;351,10
1952-12-01;348,95;370,55;340,33;362,64
1953-01-01;364,89;456,43;364,89;456,43
1953-02-01;455,97;474,43;392,10;392,10
1953-03-01;393,14;393,14;307,05;307,05
1953-04-01;295,18;355,03;295,18;339,37
1953-05-01;345,29;366,69;331,13;331,13
1953-06-01;329,34;354,32;321,79;346,27
1953-07-01;347,76;386,13;345,21;386,13
1953-08-01;392,36;416,05;390,44;409,47
1953-09-01;406,94;450,87;406,94;450,87
1953-10-01;448,75;449,01;421,12;434,79
1953-11-01;440,19;440,19;407,44;423,06
1953-12-01;420,91;421,74;377,95;377,95
