"Rank","Name","Symbol","operating_margin_ttm","price (USD)","country"
"110","OHB SE","OHB.DE","625","46.88","Germany"
"111","Brenntag","BNR.DE","609","82.2","Germany"
"112","Uniper","UN0.DE","589","55.26","Germany"
"113","Bechtle","BC8.F","587","54.19","Germany"
"114","Fresenius Medical Care","FMS","568","18.89","Germany"
"115","Schaeffler","SHA.F","559","6.93","Germany"
"116","Freenet","FNTN.F","550","28.43","Germany"
"117","Cancom","COK.F","526","32.5","Germany"
"118","Norma Group","NOEJ.F","514","19.08","Germany"
"119","Knaus Tabbert AG","KTA.DE","508","47.31","Germany"
"120","SYNLAB","SYAB.DE","502","11.65","Germany"
"121","Aurelius Group","AR4.DE","495","19.24","Germany"
"122","Dürr","DUE.F","483","23.45","Germany"
"123","adesso SE","ADN1.DE","467","120.18","Germany"
"124","HELLA","HLE.F","458","89.97","Germany"
"125","Hornbach Baumarkt","HBM.HM","430","54.14","Germany"
"126","Software AG","SOW.F","426","40.56","Germany"
"127","Bertrandt","BDT.DE","425","48.61","Germany"
"128","Hornbach Holding","HBH.DE","405","81.75","Germany"
"129","M1 Kliniken AG","M12.DE","358","14.89","Germany"
"130","Hochtief","HOT.F","337","112.06","Germany"
"131","Continental","CON.DE","313","71.48","Germany"
"132","Evonik Industries","EVK.DE","304","20.82","Germany"
"133","Rhön-Klinikum","RHK.DE","252","12.67","Germany"
"134","Indus Holding","INH.F","239","28.91","Germany"
"135","Leifheit","LEI.DE","236","16.62","Germany"
"136","Lanxess","LXS.F","232","30.08","Germany"
"137","Telefónica Deutschland (O2)","O2D.DE","229","2.54","Germany"
"138","Hypoport","HYQ.F","215","262.88","Germany"
"139","HelloFresh","HFG.DE","208","6.87","Germany"
"140","Aurubis","NDA.F","203","75.19","Germany"
"141","Bilfinger","GBF.F","192","46.39","Germany"
"142","Metro AG","B4B.F","177","5.51","Germany"
"143","RWE","RWE.DE","176","33.6","Germany"
"144","Medios AG","ILM1.DE","168","17.32","Germany"
"145","BayWa","BYW.F","149","35.19","Germany"
"146","TUI","TUI1.F","143","8.52","Germany"
"147","Thyssenkrupp","TKA.F","124","5.73","Germany"
"148","Nürnberger Versicherung","NBG6.F","119","70.38","Germany"
"149","KION Group","KGX.DE","116","51.48","Germany"
"150","Vitesco Technologies Group","VTSC.DE","110","71.78","Germany"
"151","Zalando","ZAL.DE","97","28.04","Germany"
"152","E.ON","EOAN.DE","84","13.47","Germany"
"153","Gelsenwasser","WWG.F","62","730.84","Germany"
"154","ProSiebenSat.1 Media","PSM.F","39","7.8","Germany"
"155","KAP AG","IUR.F","27","10.72","Germany"
"156","MYT Netherlands Parent (Mytheresa)","MYTE","18","3.685","Germany"
"157","VIB Vermögen","VIH1.F","0","11.72","Germany"
"158","Gateway Real Estate","GTY.F","0","0.8","Germany"
"159","STEICO SE","ST5.DE","0","31.99","Germany"
"160","UmweltBank","UBK.DE","0","7.04","Germany"
"161","SNP Schneider-Neureither &amp; Partner","SHF.DE","0","47.75","Germany"
"162","Northern Data AG","NB2.DE","0","24.25","Germany"
"163","ÖKOWORLD","VVV3.DE","0","30.86","Germany"
"164","HOMAG Group","HG1.F","0","40.49","Germany"
"165","Energiekontor","EKT.DE","0","69.29","Germany"
"166","InflaRx","IFRX","0","1.51","Germany"
"167","HanseYachts AG","H9Y.DE","0","2.82","Germany"
"168","Medion AG","MDN.DE","0","12.45","Germany"
"169","MBB SE","MBB.DE","0","110.87","Germany"
"170","ALBA SE","ABA.F","0","11.37","Germany"
"171","IONOS Group","IOS.DE","0","26.04","Germany"
"172","VIA optronics AG","VIAO","0","0.761","Germany"
"173","Koenig &amp; Bauer","SKB.DE","0","13.34","Germany"
"174","HELMA Eigenheimbau","H5E.DE","0","0.28","Germany"
"175","Sedlmayr Grund und Immobilien AG","SPB.F","0","1461.67","Germany"
"176","PNE AG","PNE3.DE","0","14.38","Germany"
"177","DEUTZ","DEZ.DE","0","6.73","Germany"
"178","DocCheck","AJ91.DE","0","9.47","Germany"
"179","Porsche","P911.DE","0","101.6","Germany"
"180","PSI Software","PSAN.DE","0","22.74","Germany"
"181","Paul Hartmann","PHH2.F","0","232.78","Germany"
"182","Porsche SE","PAH3.DE","0","55.57","Germany"
"183","SFC Energy AG","F3C.DE","0","20.59","Germany"
"184","ProCredit","PCZ.DE","0","9.85","Germany"
"185","SÜSS MicroTec","SMHN.DE","0","40.17","Germany"
"186","Serviceware","SJJ.DE","0","12.99","Germany"
"187","Westwing Group","WEW.DE","0","8.47","Germany"
"188","Adidas","ADS.DE","-26","220.55","Germany"
"189","Klöckner &amp; Co","KCO.DE","-69","7.37","Germany"
"190","BASF","BAS.DE","-71","58.1","Germany"
"191","Drägerwerk","DRW8.F","-121","49.48","Germany"
"192","Biotest","BIO.F","-217","44.61","Germany"
"193","ElringKlinger","ZIL2.DE","-222","7.48","Germany"
"194","AUTO1","AG1.F","-330","5.32","Germany"
"195","Covestro","1COV.F","-345","56.45","Germany"
"196","Siemens Energy","ENR.F","-663","19.65","Germany"
"197","Borussia Dortmund","BVB.F","-687","3.68","Germany"
"198","Nordex","NDX1.F","-763","13.27","Germany"
"199","About You","YOU.DE","-1080","4.57","Germany"
"200","Leoni AG","LEO.DE","-1089","0.04","Germany"
"201","Mister Spex","MRX.F","-1461","3.33","Germany"
"202","Delivery Hero","DHER.F","-1636","34.66","Germany"
"203","trivago","TRVG","-1749","2.77","Germany"
"204","Evotec","EVO","-1888","7.85","Germany"
"205","Spark Networks","LOV","-2293","0.212","Germany"
"206","Varta","VAR1.F","-2455","15.71","Germany"
"207","Compleo Charging Solutions","C0M.F","-4115","0.31","Germany"
