"Rank","Name","Symbol","dividend_yield_ttm","price (USD)","country"
"105","secunet","YSN.F","181.554","173.88","Germany"
"106","Jungheinrich","JUN3.F","181.419","41.66","Germany"
"107","Hornbach Baumarkt","HBM.HM","180.074","54.14","Germany"
"108","Fielmann","FIE.F","178.018","45.64","Germany"
"109","CompuGroup Medical","COP.DE","167.167","32.52","Germany"
"110","Tradegate Exchange","T2G.F","155.98","118.02","Germany"
"111","Energiekontor","EKT.DE","152.496","69.29","Germany"
"112","Commerzbank","CBK.F","150.172","14.56","Germany"
"113","EnBW Energie","EBK.DE","147.919","79.04","Germany"
"114","Merck KGaA","MRK.DE","144.891","165.44","Germany"
"115","Scout24","G24.F","144.682","76.39","Germany"
"116","MTU Aero Engines","MTX.DE","138.889","245.02","Germany"
"117","Krones","KRN.F","138.509","138.37","Germany"
"118","OHB SE","OHB.DE","138.297","46.88","Germany"
"119","Eckert &amp; Ziegler","EUZ.F","135.565","39.56","Germany"
"120","Aixtron","AIXA.F","135.041","25.05","Germany"
"121","Bechtle","BC8.F","131.583","54.19","Germany"
"122","STEICO SE","ST5.DE","128.465","31.99","Germany"
"123","Rhön-Klinikum","RHK.DE","128.263","12.67","Germany"
"124","CTS Eventim","EVD.F","124.545","93.33","Germany"
"125","Basler Aktiengesellschaft","BSL.DE","122.217","12.6","Germany"
"126","Gerresheimer","GXI.F","121.291","112.6","Germany"
"127","SAP","SAP","113.961","193.335","Germany"
"128","Infineon","IFX.DE","110.799","35.01","Germany"
"129","Jenoptik","JEN.F","108.751","29.49","Germany"
"130","Porsche","P911.DE","108.532","101.6","Germany"
"131","MBB SE","MBB.DE","98.0778","110.87","Germany"
"132","Symrise","SY1.DE","97.6716","116.28","Germany"
"133","Verbio","VBK.F","97.5918","22","Germany"
"134","GAG Immobilien","GWK3.HM","90.1285","60.09","Germany"
"135","Rheinmetall","RHM.F","80.4087","595.93","Germany"
"136","ProSiebenSat.1 Media","PSM.F","74.3653","7.8","Germany"
"137","Hensoldt","HAG.F","73.9595","44.89","Germany"
"138","adesso SE","ADN1.DE","58.7937","120.18","Germany"
"139","Beiersdorf","BEI.DE","53.7249","140.27","Germany"
"140","SÜSS MicroTec","SMHN.DE","53.6489","40.17","Germany"
"141","Nemetschek","NEM.F","51.5708","97.23","Germany"
"142","Hannover Rück","HNR1.DE","41.7372","257.8","Germany"
"143","KION Group","KGX.DE","39.5787","51.48","Germany"
"144","Atoss","AOF.F","39.3101","280.97","Germany"
"145","Nexus AG","NXU.DE","36.4716","61.93","Germany"
"146","Adidas","ADS.DE","34.7372","220.55","Germany"
"147","BayWa","BYW.F","31.5556","35.19","Germany"
"148","Rational AG","RAA.F","31.4204","872.67","Germany"
"149","1&1","1U1.DE","31.0672","17.28","Germany"
"150","PNE AG","PNE3.DE","30.3073","14.38","Germany"
"151","Drägerwerk","DRW8.F","28.9667","49.48","Germany"
"152","Deutsche Wohnen","DWNI.DE","22.5298","19.32","Germany"
"153","Software AG","SOW.F","13.3528","40.56","Germany"
"154","Pfeiffer Vacuum","PFV.F","7.08152","168.25","Germany"
"155","HelloFresh","HFG.DE","0","6.87","Germany"
"156","About You","YOU.DE","0","4.57","Germany"
"157","IONOS Group","IOS.DE","0","26.04","Germany"
"158","AUTO1","AG1.F","0","5.32","Germany"
"159","Zalando","ZAL.DE","0","28.04","Germany"
"160","Jumia","JMIA","0","5.18","Germany"
"161","Evotec","EVO","0","7.85","Germany"
"162","TAG Immobilien","TEG.F","0","13.17","Germany"
"163","Leoni AG","LEO.DE","0","0.04","Germany"
"164","InflaRx","IFRX","0","1.51","Germany"
"165","Uniper","UN0.DE","0","55.35","Germany"
"166","Encavis","ECV.F","0","18.25","Germany"
"167","Koenig &amp; Bauer","SKB.DE","0","13.34","Germany"
"168","HanseYachts AG","H9Y.DE","0","2.82","Germany"
"169","Affimed","AFMD","0","6.33","Germany"
"170","thyssenkrupp nucera","NCH2.DE","0","14.76","Germany"
"171","Gateway Real Estate","GTY.F","0","0.8","Germany"
"172","Vitesco Technologies Group","VTSC.DE","0","71.78","Germany"
"173","Atai Life Sciences","ATAI","0","2.57","Germany"
"174","VIB Vermögen","VIH1.F","0","11.72","Germany"
"175","VIA optronics AG","VIAO","0","0.761","Germany"
"176","Fraport","FRA.DE","0","52.84","Germany"
"177","Varta","VAR1.F","0","15.71","Germany"
"178","Hypoport","HYQ.F","0","262.88","Germany"
"179","Westwing Group","WEW.DE","0","8.47","Germany"
"180","TUI","TUI1.F","0","8.52","Germany"
"181","Aurelius Group","AR4.DE","0","19.24","Germany"
"182","Immatics","IMTX","0","10.68","Germany"
"183","flatexDEGIRO AG","FTK.DE","0","11.36","Germany"
"184","TeamViewer","TMV.DE","0","14.35","Germany"
"185","BioNTech","BNTX","0","89.66","Germany"
"186","Spark Networks","LOV","0","0.212","Germany"
"187","Covestro","1COV.F","0","56.45","Germany"
"188","Medios AG","ILM1.DE","0","17.32","Germany"
"189","Deutsche Pfandbriefbank","PBB.DE","0","5.23","Germany"
"190","ProCredit","PCZ.DE","0","9.85","Germany"
"191","PREOS Real Estate","PAG.F","0","0.05","Germany"
"192","Mister Spex","MRX.F","0","3.33","Germany"
"193","Morphosys","MOR","0","18.122","Germany"
"194","MVV Energie","MVV1.F","0","33.78","Germany"
"195","Mynaric","MYNA","0","4.77","Germany"
"196","MYT Netherlands Parent (Mytheresa)","MYTE","0","3.685","Germany"
"197","Curevac","CVAC","0","3","Germany"
"198","DATAGROUP SE","D6H.DE","0","48.72","Germany"
"199","Northern Data AG","NB2.DE","0","24.25","Germany"
"200","Delivery Hero","DHER.F","0","34.66","Germany"
"201","Nordex","NDX1.F","0","13.27","Germany"
"202","Branicks Group","DIC.DE","0","4.26","Germany"
"203","Mainz Biomed","MYNZ","0","1.0747","Germany"
"204","M1 Kliniken AG","M12.DE","0","14.89","Germany"
"205","SNP Schneider-Neureither &amp; Partner","SHF.DE","0","47.75","Germany"
"206","SMA Solar Technology","S92.F","0","54.3","Germany"
"207","LEG Immobilien","LEG.DE","0","83.04","Germany"
"208","Biotest","BIO.F","0","44.61","Germany"
"209","Birkenstock","BIRK","0","44.66","Germany"
"210","Siemens Healthineers","SHL.DE","0","60.33","Germany"
"211","Siemens Energy","ENR.F","0","19.65","Germany"
"212","Borussia Dortmund","BVB.F","0","3.68","Germany"
"213","SFC Energy AG","F3C.DE","0","20.59","Germany"
"214","Serviceware","SJJ.DE","0","12.99","Germany"
"215","Carl Zeiss Meditec","AFXA.F","0","112.6","Germany"
"216","Sartorius","SRT.DE","0","286.38","Germany"
"217","Lilium","LILM","0","0.9215","Germany"
"218","Lufthansa","LHA.DE","0","7.71","Germany"
"219","Compleo Charging Solutions","C0M.F","0","0.31","Germany"
"220","Nagarro","NA9.DE","0","81.64","Germany"
