"Rank","Name","Symbol","pe_ratio_ttm","price (USD)","country"
"102","Ströer","SAX.F","27.9984","59.93","Germany"
"103","Mensch und Maschine","MUM.F","29.8913","54.89","Germany"
"104","Rhön-Klinikum","RHK.DE","30.5765","12.67","Germany"
"105","Eckert &amp; Ziegler","EUZ.F","30.7552","39.56","Germany"
"106","Fielmann","FIE.F","31.1193","45.64","Germany"
"107","Carl Zeiss Meditec","AFXA.F","31.5002","112.6","Germany"
"108","Gerresheimer","GXI.F","31.9274","112.6","Germany"
"109","Bilfinger","GBF.F","32.0696","46.39","Germany"
"110","HELLA","HLE.F","32.122","89.97","Germany"
"111","SÜSS MicroTec","SMHN.DE","32.3707","40.17","Germany"
"112","BayWa","BYW.F","32.4899","35.19","Germany"
"113","SAP","SAP","36.0632","193.335","Germany"
"114","CTS Eventim","EVD.F","36.8538","93.33","Germany"
"115","STRATEC","SBS.F","37.4471","40.39","Germany"
"116","SYNLAB","SYAB.DE","38.2091","11.65","Germany"
"117","TUI","TUI1.F","39.6137","8.52","Germany"
"118","Siemens Healthineers","SHL.DE","40.5223","60.33","Germany"
"119","Rational AG","RAA.F","41.9653","872.67","Germany"
"120","ElringKlinger","ZIL2.DE","42.0074","7.48","Germany"
"121","Encavis","ECV.F","43.5443","18.25","Germany"
"122","Cancom","COK.F","43.7402","32.5","Germany"
"123","Nexus AG","NXU.DE","46.7304","61.93","Germany"
"124","Freenet","FNTN.F","48.4553","28.43","Germany"
"125","Sartorius","SRT.DE","50.9798","286.38","Germany"
"126","SNP Schneider-Neureither &amp; Partner","SHF.DE","52.7914","47.75","Germany"
"127","Leifheit","LEI.DE","55.308","16.62","Germany"
"128","Hensoldt","HAG.F","57.0591","44.89","Germany"
"129","E.ON","EOAN.DE","60.6381","13.47","Germany"
"130","M1 Kliniken AG","M12.DE","61.4565","14.89","Germany"
"131","SFC Energy AG","F3C.DE","61.6942","20.59","Germany"
"132","Zeal Network","TIMA.F","62.8664","37.46","Germany"
"133","Nemetschek","NEM.F","69.3124","97.23","Germany"
"134","Deutsche EuroShop","DEQ.F","73.233","20.42","Germany"
"135","Zalando","ZAL.DE","73.8485","28.04","Germany"
"136","Rheinmetall","RHM.F","107.723","595.93","Germany"
"137","MBB SE","MBB.DE","151.906","110.87","Germany"
"138","thyssenkrupp nucera","NCH2.DE","310.556","14.76","Germany"
"139","Patrizia Immobilien","P1Z.VI","8743.58","9.5","Germany"
"140","Spark Networks","LOV","-0.0938763","0.212","Germany"
"141","Vonovia","VNA.DE","-3.23653","27.65","Germany"
"142","Software AG","SOW.F","-299.784","40.56","Germany"
"143","Adidas","ADS.DE","-277.932","220.55","Germany"
"144","Beiersdorf","BEI.DE","0","140.27","Germany"
