"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"102","CTS Eventim","EVD.F","2121626837","93.33","Germany"
"103","Mainova","MNV6.F","2103873604","389.78","Germany"
"104","Fielmann","FIE.F","2086583340","45.64","Germany"
"105","About You","YOU.DE","2070871949","4.57","Germany"
"106","ElringKlinger","ZIL2.DE","2020876246","7.48","Germany"
"107","Ströer","SAX.F","2015154468","59.93","Germany"
"108","Indus Holding","INH.F","1954855008","28.91","Germany"
"109","Verbio","VBK.F","1950453491","22","Germany"
"110","KWS","KWS.F","1928837689","54.14","Germany"
"111","Hensoldt","HAG.F","1874583393","44.89","Germany"
"112","Medios AG","ILM1.DE","1874543770","17.32","Germany"
"113","SMA Solar Technology","S92.F","1804012456","54.3","Germany"
"114","Birkenstock","BIRK","1676369541","44.66","Germany"
"115","Siltronic","WAF.F","1642809896","87.16","Germany"
"116","Hamburger Hafen","HHFA.F","1609407176","18.15","Germany"
"117","Rhön-Klinikum","RHK.DE","1579598978","12.67","Germany"
"118","Cancom","COK.F","1549501270","32.5","Germany"
"119","Knaus Tabbert AG","KTA.DE","1539156191","47.31","Germany"
"120","Aurelius Group","AR4.DE","1533458186","19.24","Germany"
"121","TAG Immobilien","TEG.F","1398074713","13.17","Germany"
"122","TAKKT AG","TTK.DE","1381688796","13.86","Germany"
"123","Koenig &amp; Bauer","SKB.DE","1367525837","13.34","Germany"
"124","JOST Werke SE","JST.DE","1365373339","52.73","Germany"
"125","CropEnergies","CE2.F","1355950296","12.02","Germany"
"126","LEG Immobilien","LEG.DE","1345586200","83.04","Germany"
"127","Norma Group","NOEJ.F","1333088351","19.08","Germany"
"128","Vossloh AG","VOS.DE","1316101211","48.61","Germany"
"129","CompuGroup Medical","COP.DE","1300515537","32.52","Germany"
"130","Bertrandt","BDT.DE","1285378149","48.61","Germany"
"131","Dermapharm","DMP.F","1245463635","34.54","Germany"
"132","Rational AG","RAA.F","1209223083","872.67","Germany"
"133","HOMAG Group","HG1.F","1156923826","40.49","Germany"
"134","Jenoptik","JEN.F","1131073053","29.49","Germany"
"135","OHB SE","OHB.DE","1073261303","46.88","Germany"
"136","Software AG","SOW.F","1066604108","40.56","Germany"
"137","Pfeiffer Vacuum","PFV.F","1061118218","168.25","Germany"
"138","MBB SE","MBB.DE","1019755754","110.87","Germany"
"139","Nagarro","NA9.DE","991708453","81.64","Germany"
"140","Villeroy &amp; Boch","VIB3.DE","979303406","20.63","Germany"
"141","adesso SE","ADN1.DE","964147023","120.18","Germany"
"142","Medion AG","MDN.DE","924705186","12.45","Germany"
"143","Nemetschek","NEM.F","923697696","97.23","Germany"
"144","MYT Netherlands Parent (Mytheresa)","MYTE","854541459","3.685","Germany"
"145","Varta","VAR1.F","849240488","15.71","Germany"
"146","CEWE","CWC.F","829781359","112.39","Germany"
"147","Evotec","EVO","821123906","7.85","Germany"
"148","Simona","SIM0.F","762605892","73.62","Germany"
"149","Grenke","GLJ.F","746317532","24.74","Germany"
"150","Biotest","BIO.F","732928808","44.61","Germany"
"151","Hawesko","HAW.DE","708667205","31.83","Germany"
"152","thyssenkrupp nucera","NCH2.DE","689698891","14.76","Germany"
"153","Aixtron","AIXA.F","683864273","25.05","Germany"
"154","TeamViewer","TMV.DE","679918439","14.35","Germany"
"155","Deutsche Pfandbriefbank","PBB.DE","587033011","5.23","Germany"
"156","Encavis","ECV.F","536470654","18.25","Germany"
"157","DATAGROUP SE","D6H.DE","532797172","48.72","Germany"
"158","Allgeier","AEIN.DE","529913415","21.87","Germany"
"159","trivago","TRVG","524481941","2.77","Germany"
"160","WashTec AG","WSU.DE","500969704","42.98","Germany"
"161","Borussia Dortmund","BVB.F","492656474","3.68","Germany"
"162","STEICO SE","ST5.DE","476749167","31.99","Germany"
"163","Scout24","G24.F","471220548","76.39","Germany"
"164","ProCredit","PCZ.DE","469241853","9.85","Germany"
"165","Amadeus Fire","AAD.DE","465540695","130.58","Germany"
"166","Westwing Group","WEW.DE","458616552","8.47","Germany"
"167","ALBA SE","ABA.F","434960856","11.37","Germany"
"168","Delivery Hero","DHER.F","426812459","34.66","Germany"
"169","GAG Immobilien","GWK3.HM","423797664","60.09","Germany"
"170","KAP AG","IUR.F","423540857","10.72","Germany"
"171","Hypoport","HYQ.F","382232789","262.88","Germany"
"172","flatexDEGIRO AG","FTK.DE","368143896","11.36","Germany"
"173","Mensch und Maschine","MUM.F","350110656","54.89","Germany"
"174","SÜSS MicroTec","SMHN.DE","342448426","40.17","Germany"
"175","New Work","NWO.F","331585671","68.43","Germany"
"176","HELMA Eigenheimbau","H5E.DE","323915907","0.28","Germany"
"177","Patrizia Immobilien","P1Z.VI","317328451","9.5","Germany"
"178","M1 Kliniken AG","M12.DE","305539274","14.89","Germany"
"179","Leifheit","LEI.DE","278119271","16.62","Germany"
"180","STRATEC","SBS.F","274019109","40.39","Germany"
"181","PSI Software","PSAN.DE","271812385","22.74","Germany"
"182","Deutsche EuroShop","DEQ.F","262774057","20.42","Germany"
"183","Nexus AG","NXU.DE","262138786","61.93","Germany"
"184","Eckert &amp; Ziegler","EUZ.F","260430260","39.56","Germany"
"185","Morphosys","MOR","258458216","18.122","Germany"
