"Rank","Name","Symbol","marketcap","price (USD)","country"
"104","MVV Energie","MVV1.F","2226388289","33.78","Germany"
"105","Mainova","MNV6.F","2143512308","389.78","Germany"
"106","Metro AG","B4B.F","1984648038","5.51","Germany"
"107","SMA Solar Technology","S92.F","1902626730","54.3","Germany"
"108","thyssenkrupp nucera","NCH2.DE","1880824877","14.76","Germany"
"109","Dermapharm","DMP.F","1859566843","34.54","Germany"
"110","KWS","KWS.F","1790066003","54.14","Germany"
"111","ProSiebenSat.1 Media","PSM.F","1774952828","7.8","Germany"
"112","Hypoport","HYQ.F","1758225933","262.88","Germany"
"113","Bilfinger","GBF.F","1742235634","46.39","Germany"
"114","Hornbach Baumarkt","HBM.HM","1721892560","54.14","Germany"
"115","CompuGroup Medical","COP.DE","1704815591","32.52","Germany"
"116","Jenoptik","JEN.F","1688139697","29.49","Germany"
"117","Pfeiffer Vacuum","PFV.F","1664553382","168.25","Germany"
"118","Dürr","DUE.F","1636633971","23.45","Germany"
"119","Deutsche EuroShop","DEQ.F","1561408471","20.42","Germany"
"120","Biotest","BIO.F","1459852196","44.61","Germany"
"121","Salzgitter","SZG.F","1424275652","26.14","Germany"
"122","Verbio","VBK.F","1397433348","22","Germany"
"123","Hamburger Hafen","HHFA.F","1376403291","18.15","Germany"
"124","Wüstenrot &amp; Württembergische","WUW.F","1357647051","14.47","Germany"
"125","Wacker Neuson","WAC.F","1324074214","19.47","Germany"
"126","Hornbach Holding","HBH.DE","1307361455","81.75","Germany"
"127","Northern Data AG","NB2.DE","1297463491","24.25","Germany"
"128","flatexDEGIRO AG","FTK.DE","1248135123","11.36","Germany"
"129","Cancom","COK.F","1192440156","32.5","Germany"
"130","Grenke","GLJ.F","1188650325","24.74","Germany"
"131","HelloFresh","HFG.DE","1174952412","6.87","Germany"
"132","AUTO1","AG1.F","1151310455","5.32","Germany"
"133","secunet","YSN.F","1140651295","173.88","Germany"
"134","Immatics","IMTX","1099879808","10.68","Germany"
"135","PNE AG","PNE3.DE","1097605751","14.38","Germany"
"136","CropEnergies","CE2.F","1087780823","12.02","Germany"
"137","Nagarro","NA9.DE","1087577237","81.64","Germany"
"138","Sedlmayr Grund und Immobilien AG","SPB.F","1073295314","1461.67","Germany"
"139","Nexus AG","NXU.DE","1069644972","61.93","Germany"
"140","BayWa","BYW.F","1014544686","35.19","Germany"
"141","Drägerwerk","DRW8.F","989318943","49.48","Germany"
"142","GAG Immobilien","GWK3.HM","970252473","60.09","Germany"
"143","Energiekontor","EKT.DE","966776960","69.29","Germany"
"144","Mensch und Maschine","MUM.F","925165249","54.89","Germany"
"145","TAKKT AG","TTK.DE","902217064","13.86","Germany"
"146","Vossloh AG","VOS.DE","853868099","48.61","Germany"
"147","DEUTZ","DEZ.DE","849539091","6.73","Germany"
"148","Rhön-Klinikum","RHK.DE","847964937","12.67","Germany"
"149","Paul Hartmann","PHH2.F","826790957","232.78","Germany"
"150","Eckert &amp; Ziegler","EUZ.F","823946159","39.56","Germany"
"151","Nürnberger Versicherung","NBG6.F","823211364","70.38","Germany"
"152","Patrizia Immobilien","P1Z.VI","820779350","9.5","Germany"
"153","OHB SE","OHB.DE","813970585","46.88","Germany"
"154","Zeal Network","TIMA.F","811324244","37.46","Germany"
