"Rank","Name","Symbol","employees_count","price (USD)","country"
"110","KWS","KWS.F","5219","54.14","Germany"
"111","Evotec","EVO","5086","7.85","Germany"
"112","Deutsche Wohnen","DWNI.DE","4721","19.32","Germany"
"113","Software AG","SOW.F","4699","40.56","Germany"
"114","Jenoptik","JEN.F","4590","29.49","Germany"
"115","JOST Werke SE","JST.DE","4500","52.73","Germany"
"116","Siltronic","WAF.F","4500","87.16","Germany"
"117","Nürnberger Versicherung","NBG6.F","4362","70.38","Germany"
"118","DWS Group","DWS.F","4329","44.8","Germany"
"119","IONOS Group","IOS.DE","4325","26.04","Germany"
"120","Jumia","JMIA","4318","5.18","Germany"
"121","Carl Zeiss Meditec","AFXA.F","4224","112.6","Germany"
"122","SMA Solar Technology","S92.F","4168","54.3","Germany"
"123","Amadeus Fire","AAD.DE","4096","130.58","Germany"
"124","Varta","VAR1.F","4049","15.71","Germany"
"125","Vossloh AG","VOS.DE","4035","48.61","Germany"
"126","Pfeiffer Vacuum","PFV.F","4013","168.25","Germany"
"127","CEWE","CWC.F","4000","112.39","Germany"
"128","Freenet","FNTN.F","3719","28.43","Germany"
"129","MBB SE","MBB.DE","3681","110.87","Germany"
"130","Allgeier","AEIN.DE","3608","21.87","Germany"
"131","Hannover Rück","HNR1.DE","3519","257.8","Germany"
"132","DATAGROUP SE","D6H.DE","3500","48.72","Germany"
"133","ProCredit","PCZ.DE","3437","9.85","Germany"
"134","Nemetschek","NEM.F","3406","97.23","Germany"
"135","CTS Eventim","EVD.F","3354","93.33","Germany"
"136","1&1","1U1.DE","3244","17.28","Germany"
"137","OHB SE","OHB.DE","3217","46.88","Germany"
"138","Mainova","MNV6.F","3113","389.78","Germany"
"139","Knaus Tabbert AG","KTA.DE","3086","47.31","Germany"
"140","KAP AG","IUR.F","2702","10.72","Germany"
"141","Dermapharm","DMP.F","2563","34.54","Germany"
"142","Rational AG","RAA.F","2524","872.67","Germany"
"143","TAKKT AG","TTK.DE","2429","13.86","Germany"
"144","PSI Software","PSAN.DE","2279","22.74","Germany"
"145","Biotest","BIO.F","2228","44.61","Germany"
"146","Hypoport","HYQ.F","2190","262.88","Germany"
"147","STEICO SE","ST5.DE","2020","31.99","Germany"
"148","Grenke","GLJ.F","2000","24.74","Germany"
"149","TAG Immobilien","TEG.F","1826","13.17","Germany"
"150","Nexus AG","NXU.DE","1800","61.93","Germany"
"151","WashTec AG","WSU.DE","1767","42.98","Germany"
"152","LEG Immobilien","LEG.DE","1750","83.04","Germany"
"153","Simona","SIM0.F","1738","73.62","Germany"
"154","Gelsenwasser","WWG.F","1697","730.84","Germany"
"155","New Work","NWO.F","1697","68.43","Germany"
"156","Westwing Group","WEW.DE","1541","8.47","Germany"
"157","STRATEC","SBS.F","1532","40.39","Germany"
"158","TeamViewer","TMV.DE","1433","14.35","Germany"
"159","MYT Netherlands Parent (Mytheresa)","MYTE","1432","3.685","Germany"
"160","SNP Schneider-Neureither &amp; Partner","SHF.DE","1399","47.75","Germany"
"161","HanseYachts AG","H9Y.DE","1370","2.82","Germany"
"162","Mister Spex","MRX.F","1350","3.33","Germany"
"163","Verbio","VBK.F","1337","22","Germany"
"164","flatexDEGIRO AG","FTK.DE","1321","11.36","Germany"
"165","Hawesko","HAW.DE","1261","31.83","Germany"
"166","About You","YOU.DE","1240","4.57","Germany"
"167","Mensch und Maschine","MUM.F","1139","54.89","Germany"
"168","SÜSS MicroTec","SMHN.DE","1133","40.17","Germany"
"169","Eckert &amp; Ziegler","EUZ.F","1062","39.56","Germany"
"170","Aixtron","AIXA.F","1057","25.05","Germany"
"171","Basler Aktiengesellschaft","BSL.DE","1035","12.6","Germany"
"172","secunet","YSN.F","1013","173.88","Germany"
"173","Leifheit","LEI.DE","983","16.62","Germany"
"174","Patrizia Immobilien","P1Z.VI","978","9.5","Germany"
"175","Medion AG","MDN.DE","938","12.45","Germany"
"176","Borussia Dortmund","BVB.F","923","3.68","Germany"
"177","Ringmetall","HP3A.DE","911","3.85","Germany"
"178","Curevac","CVAC","904","3","Germany"
"179","Scout24","G24.F","856","76.39","Germany"
"180","VIA optronics AG","VIAO","849","0.761","Germany"
"181","Lilium","LILM","838","0.9215","Germany"
"182","Deutsche Pfandbriefbank","PBB.DE","800","5.23","Germany"
"183","Atoss","AOF.F","761","280.97","Germany"
"184","trivago","TRVG","709","2.77","Germany"
"185","Compleo Charging Solutions","C0M.F","665","0.31","Germany"
"186","PNE AG","PNE3.DE","637","14.38","Germany"
"187","thyssenkrupp nucera","NCH2.DE","628","14.76","Germany"
"188","Morphosys","MOR","544","18.122","Germany"
